Gene	JK_A2_2_ERCC_S27	JK_S1_3_ERCC_S23	JK_A2_3_ERCC_S28	JK_S2_3_ERCC_S25	JK_A2_4_ERCC_S29	JK_A2_1_ERCC_S26	JK_S1_2_ERCC_S22	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S2_2_ERCC_S24
KIFAP3	18.44696912	13.70575493	17.79900363	16.40267414	17.75418204	19.65841975	15.32409898	16.70286207	18.09190244	16.17275224
SNORA75	8.486064948	5.773695322	7.29423408	10.18074681	9.18056164	8.057772358	5.353469153	7.797106945	7.092045509	11.47568353
SYCE1L	1.233668012	2.79291489	1.208038031	1.941258223	1.134992949	1.044384875	2.592899191	0.757949611	1.045381743	1.683096441
MAGEE1	3.208733926	4.475033887	3.224369584	3.444158352	3.382087107	2.981603111	3.846320269	3.266467091	3.686479575	3.655570534
TMEM168	3.936308944	3.084733212	3.972782989	4.067958443	3.83219634	3.83725199	3.96836105	3.434022957	3.794002388	4.310146667
PNPO	11.79697805	5.094554796	11.99811712	7.932287089	12.59297839	12.09969522	4.454405619	13.1855019	11.92457027	7.297099829
STAT6	40.39891151	31.89886606	40.66841762	37.5432824	43.74653446	38.54406396	30.3776521	43.59184109	42.29381164	36.23471651
IFI44	2.026884218	0.7893839	1.749353734	1.690350375	2.220280164	2.474838748	1.078634078	1.974700196	2.038770864	1.598832246
MLLT3	2.939328564	6.037337598	2.88980207	4.356039349	2.995708048	3.30060788	6.004906514	2.894309232	2.935309874	4.374792203
DTX1	67.92655702	23.47069218	69.79691005	27.91698363	72.70035969	65.65976674	20.66930851	76.48245392	74.99713858	26.14094103
C19orf47	11.74837266	10.44964738	11.50232862	10.40216359	12.40563198	10.30102427	10.07592605	12.5318131	12.22468289	9.750218984
AC007292.1	2.927326549	1.533672371	2.827955214	1.617970306	2.853187542	2.188839135	1.345354672	2.796696055	2.502702071	1.996545476
DBNL	10.90626428	8.034995944	11.05394155	11.16760007	11.93652621	9.994871638	7.96355338	11.18575044	11.51294396	10.9961505
NAA30	6.98918888	5.07940032	6.535448891	6.933225113	6.428716164	7.090110765	5.602272003	5.545259498	6.216701193	5.971845573
DDIT4	35.22292967	152.0860066	36.10954133	90.08711462	46.22205462	34.97207192	147.3667755	46.87555086	46.52464461	89.22208877
PRKG2	3.258126879	1.356251363	3.21605388	1.176467749	3.142034992	3.443533523	1.697113647	2.994077142	3.022429183	1.287003081
BRD3	28.44075758	35.43085169	28.60364647	32.11006549	27.67968089	27.37767888	33.5963176	28.02418882	27.48808462	31.76231149
KIF20A	13.46195285	28.51456627	13.88379094	21.12422728	14.49203051	14.54201191	26.65300247	15.03509582	14.30531335	21.86946603
UBE2D3	76.86141851	52.86810959	73.24341513	74.83152395	64.95573787	75.54718947	63.83357552	61.3457897	64.47909594	67.20621301
HES4	65.18424798	55.29096447	63.0796687	49.35054894	67.91035278	52.36518985	49.55074599	70.34159562	73.05395204	47.02184555
AL161787.1	39.27671952	100.4980879	40.84025824	56.34235473	58.27180893	48.77209842	95.17224517	63.11763673	37.11695623	54.68826194
SNORA80E	2.178854514	2.474440852	3.106803404	4.99248161	4.095942885	2.518053862	3.662899947	2.43659592	3.059313749	4.831866748
MAP11	7.286561665	5.439895995	6.844589513	5.705654955	8.141304925	6.2378748	5.061231163	7.401386602	7.456430949	5.133149242
CTTN	6.967056238	13.40832595	6.673831168	9.574727185	7.959911263	6.691415177	12.0806119	8.131096331	7.86035894	8.876450807
TRIM65	15.24178135	9.224616539	15.42692028	13.58158997	15.74744292	13.33407742	9.73018164	15.56120032	15.13848283	13.13074781
CRADD	3.484138929	4.237479959	3.323480199	4.214941057	3.303945297	3.035139934	5.094325211	3.179177534	3.214076807	4.109141101
ARPC1B	1.207148894	1.220968802	1.20235047	1.439617772	1.421171689	1.351308152	0.937772429	1.093852609	1.366949151	0.934979865
CBX8	9.902925552	9.867124177	9.982841643	9.28273569	10.57225167	9.893159806	9.537162341	10.23149486	9.957187123	8.964854582
SPECC1L	7.961042011	5.898094241	7.949013834	6.811679709	8.177099803	7.576526084	5.702015212	8.432952917	8.090343345	6.986219875
KLHL22	9.763247844	9.157739522	8.725808736	9.273234101	10.73883236	8.569750082	8.856317849	10.51090421	11.05541244	8.313849837
FBXO21	12.83197242	11.44932671	12.40219156	12.23074125	12.95814863	12.3188285	11.27809949	12.48170316	12.09188919	11.99092902
MAMDC4	2.120484371	1.552643435	1.75516522	1.901438634	2.446959036	1.767373343	1.511384767	2.175633653	2.372131496	1.87143769
CDC42P6	8.837261893	6.449405262	9.734791374	8.475118224	10.21239399	11.93831486	8.242992388	11.06916761	9.161765899	8.403861991
HACD1	8.439044481	8.042486584	8.532190814	9.521094575	8.185120947	8.709265256	8.432161657	7.665460961	7.692106235	8.833864708
RNU2-58P	1.888716567	1.466523119	1.21349128	1.905412997	2.537678577	0.377020086	0.632808692	1.094470954	2.082096292	2.260811969
KIAA0100	32.22086943	26.89974489	32.71141528	29.95487648	33.11451895	30.4971081	24.04008529	32.62187965	32.74197329	29.90453421
TMEM52	1.658194241	0.442193794	1.903542336	0.971650504	1.349985987	1.501673028	0.517906935	1.672054016	1.567717942	0.925153377
PCED1A	12.68604301	30.5338374	13.01667149	22.53267332	13.85480818	11.09818349	28.0878805	13.37616056	14.41112586	22.16029842
PASK	13.67929041	16.37170939	14.33890989	16.52939117	15.17242658	13.02817902	16.13735548	15.22613438	15.11501707	16.1045493
PLEKHA1	8.170454774	7.490953152	7.868572819	6.627092939	7.989906358	8.156900884	8.320914863	7.578117669	8.081453899	6.818696039
ESYT2	92.90657581	79.57361696	92.1716362	79.73574241	94.07378861	94.08049167	80.62237558	92.1964152	93.91656898	78.61537392
ZGPAT	2.264203683	2.744158693	2.065635633	2.032283484	2.576783567	1.649113292	2.727045582	2.37006506	2.516828584	2.265204221
DBF4P1	1.17913196	0.731629732	1.144382567	1.105784075	1.032943823	1.215551019	1.02011972	1.349722175	0.775338765	1.005894036
RPSAP15	2.773547674	4.46223209	3.718343053	3.426781347	3.685676028	4.327192212	3.765983435	3.780119629	3.650923202	3.98832439
ESYT3	2.788879493	1.76233317	2.678092167	2.144881248	3.284395325	2.507836906	1.48792955	2.638341119	3.079108894	2.210282917
